,title-en,content-en,title-de,content-de,title-es,content-es,title-fr,content-fr,title-zh,content-zh
0,"Liverpool crash suspect Paul Doyle accused of using car as weapon, court told",He is charged with multiple offences after 79 people were hurt when a car was driven through a crowd.,"Liverpool Absturzverdächtiger Paul Doyle beschuldigt, Auto als Waffe, Gericht sagte","Er wird mit mehreren Straftaten angeklagt, nachdem 79 Menschen verletzt wurden, als ein Auto durch eine Menge gefahren wurde.","El sospechoso de accidente de Liverpool Paul Doyle acusado de usar el coche como arma, dijo la corte",Se le acusa de múltiples delitos después de que 79 personas resultaron heridas cuando un coche fue conducido a través de una multitud.,"Liverpool suspect d'accident Paul Doyle accusé d'utiliser la voiture comme arme, a déclaré le tribunal",Il est accusé de plusieurs infractions après que 79 personnes ont été blessées lorsqu'une voiture a été conduite dans la foule.,"法院告诉利物浦坠机嫌疑人Paul Doyle,","在一辆汽车在人群中行驶时有79人受伤之后,他被指控犯有多项罪行。"
1,China hits back after Trump claims it is 'violating' tariff truce,The remarks from both sides raise concerns that a trade war could erupt again between the two largest economies.,"China schlägt zurück, nachdem Trump behauptet, es sei ""gewaltiger"" Zollfrieden","Die Bemerkungen beider Seiten machen Anlass zur Sorge, dass ein Handelskrieg zwischen den beiden größten Volkswirtschaften wieder ausbrechen könnte.","China responde después de que Trump afirma que está ""violando"" la tregua arancelaria",Las observaciones de ambas partes plantean la preocupación de que una guerra comercial podría estallar de nuevo entre las dos economías más grandes.,La Chine revient après que Trump affirme qu'elle « viole » la trêve tarifaire,Les deux parties craignent qu'une guerre commerciale ne se reproduise entre les deux plus grandes économies.,"在特朗普声称这是“违反”关税休战之后,中国又回击了",双方的评论都对两个最大的经济体之间可能再次爆发贸易战争表示关切。
2,"In Oval Office farewell, Trump says Elon Musk is 'not really leaving'",Musk's time in government ended with a colourful Oval Office meeting at Trump's side.,"Im Oval Office Abschied, Trump sagt Elon Musk 'nicht wirklich gehen'",Musks Regierungszeit endete mit einem bunten Treffen des Oval Office an Trumps Seite.,"En la despedida de Oval Office, Trump dice que Elon Musk 'no se va'",El tiempo de Musk en el gobierno terminó con una colorida reunión de la Oficina Oval al lado de Trump.,"Au revoir à Oval Office, Trump dit qu'Elon Musk ne s'en va pas vraiment.",Le temps passé par Musk au gouvernement s'est terminé par une réunion colorée du Bureau ovale aux côtés de Trump.,"在Oval Office的告别中,Trump说Elon Musk没有真正离开",穆斯克在政府里的时间结束 在特朗普的身边 举行了多彩的总统办公室会议
3,Gerry Adams awarded €100k in libel case against the BBC,The former Sinn Féin leader was seeking damages over a story in which an anonymous contributor alleged he sanctioned the murder of Denis Donaldson.,Gerry Adams erhält 100k Euro im Verleumdungsverfahren gegen die BBC,"Der ehemalige Sinn Féin-Führer suchte Schadensersatz wegen einer Geschichte, in der ein anonymer Mitarbeiter behauptete, er habe den Mord an Denis Donaldson sanktioniert.",Gerry Adams otorgó €100k en caso de difamación contra la BBC,El ex líder del Sinn Féin estaba buscando daños por una historia en la que un colaborador anónimo alegó que sancionaba el asesinato de Denis Donaldson.,Gerry Adams a remporté 100 000 euros en diffamation contre la BBC,L'ancien chef Sinn Féin demandait des dommages-intérêts pour une histoire dans laquelle un contributeur anonyme prétendait avoir sanctionné le meurtre de Denis Donaldson.,Gerry Adams在针对BBC的诽谤案中授予100欧元,"前新芬党领导人正在就一个报道寻求损害赔偿,其中一名匿名捐款人指控他批准谋杀Denis Donaldson。"
4,Last hospital in North Gaza governorate evacuated after Israeli order,"Al-Awda, the last functioning hospital in the North Gaza governorate, is out of service after the Israeli military ordered its evacuation.",Letztes Krankenhaus im nördlichen Gaza Gouvernement evakuiert nach israelischer Ordnung,"Al-Awda, das letzte funktionierende Krankenhaus im nördlichen Gaza Gouvernement, ist außer Dienst, nachdem das israelische Militär seine Evakuierung angeordnet hatte.",Último hospital de la provincia de Gaza septentrional evacuado tras orden israelí,"Al-Awda, el último hospital en funcionamiento en la provincia del norte de Gaza, está fuera de servicio después de que el ejército israelí ordenó su evacuación.",Dernier hôpital dans le gouvernorat de Gaza-Nord évacué après l ' ordre d ' Israël,"Al-Awda, le dernier hôpital en service dans le gouvernorat de Gaza-Nord, est hors service après que l'armée israélienne ait ordonné son évacuation.",北加沙省最后一家医院经以色列命令后撤离,"Al-Awda是加沙北部省最后一家正常运作的医院,在以色列军队下令撤离后停业。"
5,Taylor Swift buys back her master recordings,"The singer announces that she owns the masters to her first six albums, for the first time ever.",Taylor Swift kauft ihre Master-Aufnahmen zurück,"Die Sängerin gibt bekannt, dass sie die Meister zu ihren ersten sechs Alben besitzt, zum ersten Mal überhaupt.",Taylor Swift vuelve a comprar sus grabaciones maestras,"La cantante anuncia que es dueña de los maestros de sus primeros seis álbumes, por primera vez en la historia.",Taylor Swift rachète ses masters d'enregistrements,"La chanteuse annonce qu'elle possède les maîtres de ses six premiers albums, pour la première fois.",泰勒·斯威夫特买回她的主录音,歌手宣布她拥有前六张专辑的主人 有史以来第一次
6,M*A*S*H actress Loretta Swit dies aged 87,"Swit won awards for her role as ""Hot Lips"" Houlihan, a nurse based at hospital during the Korean War.",M*A*S*H Schauspielerin Loretta Swit stirbt im Alter von 87 Jahren,"Swit erhielt Auszeichnungen für ihre Rolle als ""Hot Lips"" Houlihan, eine Krankenschwester im Krankenhaus während des Koreakrieges.",M*A*S*H actriz Loretta Swit muere a los 87 años,"Swit ganó premios por su papel como ""Hot Lips"" Houlihan, una enfermera con sede en el hospital durante la Guerra de Corea.",M*A*S*H Loretta Swit décède à l'âge de 87 ans,"Swit a remporté des prix pour son rôle de ""Hot Lips"" Houlihan, infirmière basée à l'hôpital pendant la guerre de Corée.",M*A*S*H女演员Loretta Swit 87岁死亡,Swit因在朝鲜战争期间在医院工作的护士Houlihan担任“热利普斯”而获奖。
7,"UK taxpayers no longer own NatWest - but 17 years on, are banks safer from collapse?","The last shares have been sold from the RBS bailout during the financial crisis. But, with banks facing fresh risks today, has enough changed?","Die britischen Steuerzahler besitzen NatWest nicht mehr - aber 17 Jahre später, sind Banken vor dem Zusammenbruch sicherer?","Die letzten Aktien wurden während der Finanzkrise aus dem RBS-Bailout verkauft. Aber mit Banken, die heute mit neuen Risiken konfrontiert sind, hat sich genug verändert?","Los contribuyentes del Reino Unido ya no son dueños de NatWest - pero 17 años después, ¿están los bancos más seguros del colapso?","Las últimas acciones se han vendido del rescate de RBS durante la crisis financiera. Pero, con los bancos enfrentan nuevos riesgos hoy, ¿ha cambiado lo suficiente?","Les contribuables britanniques ne possèdent plus NatWest - mais 17 ans après, les banques sont-elles plus sûres de l'effondrement?","Les dernières actions ont été vendues lors du renflouement du RBS pendant la crise financière. Mais, avec les banques confrontées à de nouveaux risques aujourd'hui, a-t-elle suffisamment changé?","英国纳税人不再拥有NatWest(NatWest),","最后的股份在金融危机期间从RBS救援中出售。 但如今银行面临新的风险,这是否已经足够了?"
8,Ukraine accuses Russia of undermining next round of peace talks,Russia says it is sending its negotiators to Turkey for a second round of ceasefire talks on 2 June.,Ukraine beschuldigt Russland der Unterminierung der nächsten Runde der Friedensgespräche,"Russland sagt, dass es seine Verhandlungsführer für eine zweite Runde von Waffenstillstandsverhandlungen am 2. Juni in die Türkei entsendet.",Ucrania acusa a Rusia de socavar la próxima ronda de conversaciones de paz,Rusia dice que está enviando a sus negociadores a Turquía para una segunda ronda de conversaciones de cesación del fuego el 2 de junio.,L'Ukraine accuse la Russie de saper la prochaine série de pourparlers de paix,La Russie dit qu'elle envoie ses négociateurs en Turquie pour une deuxième série de pourparlers de cessez-le-feu le 2 juin.,乌克兰指责俄罗斯破坏下一轮和谈,"俄罗斯表示,它将派谈判人员前往土耳其参加6月2日第二轮停火会谈。"
9,Royal Navy warship seizes £30m of drugs,"HMS Lancaster, which is normally based in Portsmouth, shadowed the dhow for more than 24 hours.",Kriegsschiff der Royal Navy beschlagnahmt 30 Millionen Pfund Drogen,"HMS Lancaster, die normalerweise in Portsmouth ansässig ist, schattierte die Dhow für mehr als 24 Stunden.",Navío de guerra de la Marina Real incauta £30 millones de drogas,"HMS Lancaster, que normalmente tiene su base en Portsmouth, ocultó el dhow durante más de 24 horas.",Le vaisseau de guerre de la Royal Navy saisit 30 millions de livres de drogue,"HMS Lancaster, qui est normalement basé à Portsmouth, a observé le dhow pendant plus de 24 heures.",皇家海军军舰缴获3 000万英镑的毒品,"HMS Lancaster通常以Portsmouth为基地,在单桅帆船后面躲了24小时以上。"
